,c_1,c_2,c_3,c_4,c_5,c_6,c_7
Alabama-Marengo,0.40115886926651,0.22698849439620972,0.10383404046297073,0.3624792993068695,0.14960741996765137,-0.15048840641975403,0.14951467514038086
Alabama-Marion,-0.06860008835792542,0.14431321620941162,0.20031437277793884,-0.09245762228965759,-0.09837470948696136,0.02544701099395752,0.024279020726680756
Alabama-Marshall,0.008009523153305054,0.1160273551940918,0.10503802448511124,-0.17109879851341248,-0.0023369528353214264,-0.010782897472381592,0.002361781895160675
Alabama-Mobile,0.1666664183139801,0.3200889825820923,-0.14041242003440857,0.1970980167388916,-0.00942151341587305,-0.07995659112930298,0.10833077877759933
Alabama-Monroe,0.47430065274238586,0.37521421909332275,0.23237481713294983,0.2186581790447235,0.021415069699287415,-0.04966306686401367,0.0805266723036766
Alabama-Montgomery,0.4039629101753235,0.24515485763549805,-0.17520378530025482,0.4894047975540161,-0.020472243428230286,-0.20407065749168396,0.11777275055646896
Alabama-Morgan,-0.030567646026611328,0.23565083742141724,-0.047561079263687134,-0.06640121340751648,-0.005386515520513058,-0.04847997426986694,0.05254939943552017
Alabama-Perry,0.7298077344894409,0.4755634069442749,0.11099676042795181,0.47987210750579834,0.037395577877759933,-0.12730327248573303,0.17839974164962769
Alabama-Pickens,0.36285173892974854,0.4005472660064697,0.17303892970085144,0.18297617137432098,0.20600205659866333,-0.008536279201507568,0.006650350987911224
Alabama-Pike,0.25524666905403137,0.2567429542541504,0.03770717978477478,0.2491167038679123,-0.04789704829454422,-0.184675395488739,0.1920139193534851
Alabama-Randolph,0.04797276854515076,0.1872044801712036,0.16480490565299988,0.018684834241867065,0.17680884897708893,0.005543410778045654,0.04425453394651413
Alabama-Russell,0.33674371242523193,0.25735342502593994,-0.007798951119184494,0.2811541259288788,0.03912359103560448,-0.08010876178741455,0.020790033042430878
Alabama-St. Clair,-0.13840094208717346,0.26523494720458984,-0.06096580624580383,-0.07202276587486267,0.008412720635533333,0.1170881986618042,0.06873465329408646
Alabama-Shelby,-0.2759408950805664,0.16418880224227905,-0.4193478226661682,0.06335693597793579,-0.027054309844970703,0.08269596099853516,0.08372264355421066
Alabama-Sumter,0.91568523645401,0.42181873321533203,0.24473312497138977,0.5665253400802612,-0.039955560117959976,-0.10784175992012024,0.08679700642824173
Alabama-Talladega,0.24062347412109375,0.3168818950653076,0.11190404742956161,0.1355791538953781,0.0603119358420372,-0.0604875385761261,0.06983349472284317
Alabama-Tallapoosa,0.15546777844429016,0.2611020803451538,0.12203218787908554,0.09189805388450623,0.09830645471811295,-0.07067340612411499,0.06581463664770126
Alabama-Tuscaloosa,0.10856108367443085,0.20684212446212769,-0.08451508730649948,0.2112504541873932,-0.023591361939907074,-0.10367068648338318,0.0447964146733284
Alabama-Walker,0.006332606077194214,0.2490660548210144,0.16336292028427124,-0.12007853388786316,-0.03173413872718811,0.16713130474090576,-0.018818818032741547
Alabama-Washington,0.20062419772148132,0.313518762588501,0.17255261540412903,0.04988539218902588,0.2827570140361786,0.11835163831710815,-0.18436288833618164
Alabama-Wilcox,0.795798122882843,0.3723903298377991,0.2169378399848938,0.5745977163314819,0.09718278795480728,-0.13864949345588684,0.19895565509796143
Alabama-Winston,-0.02042374014854431,0.162348210811615,0.29174211621284485,-0.14525863528251648,-0.07196415215730667,0.09420949220657349,0.002270035445690155
Alaska-Aleutians East Borough,0.2148914933204651,-0.3262374997138977,-0.08736996352672577,0.18329523503780365,0.30965375900268555,-0.8828599452972412,-0.5027692317962646
